To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station,AQI,AQI Category
14-10-2021 00:00,4.75,0.64,18.2,26.44,149.44,64.26,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",133.0,Moderate
15-10-2021 00:00,,0.59,30.22,27.76,149.29,62.46,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",133.0,Moderate
16-10-2021 00:00,,0.48,24.65,16.6,119.8,54.47,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",113.0,Moderate
17-10-2021 00:00,9.46,0.6,9.45,14.28,94.19,59.14,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",99.0,Moderate
18-10-2021 00:00,10.48,0.62,13.0,19.01,60.63,31.84,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",61.0,Moderate
19-10-2021 00:00,90.08,0.56,22.41,24.77,107.84,48.91,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",106.0,Moderate
20-10-2021 00:00,88.13,0.57,26.49,29.15,117.21,50.97,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",112.0,Moderate
21-10-2021 00:00,87.42,0.57,17.41,24.08,139.34,57.57,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",126.0,Moderate
22-10-2021 00:00,88.99,0.61,17.24,20.78,119.93,46.57,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",114.0,Moderate
23-10-2021 00:00,56.41,0.56,24.01,24.72,122.57,51.3,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",115.0,Moderate
24-10-2021 00:00,22.94,0.47,15.61,25.62,132.98,51.7,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",122.0,Moderate
25-10-2021 00:00,22.59,0.58,15.7,26.41,117.25,52.72,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",112.0,Moderate
26-10-2021 00:00,25.61,0.5,11.26,15.65,113.2,54.26,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",109.0,Moderate
27-10-2021 00:00,22.91,0.44,21.8,22.13,125.02,57.66,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",117.0,Moderate
28-10-2021 00:00,24.37,0.48,15.22,17.61,122.72,59.95,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",115.0,Moderate
29-10-2021 00:00,23.81,0.51,13.28,18.08,115.97,59.51,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",111.0,Moderate
30-10-2021 00:00,23.82,0.39,11.05,13.99,99.93,55.27,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",100.0,Moderate
31-10-2021 00:00,20.99,0.47,9.41,15.43,98.39,59.53,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",99.0,Moderate
01-11-2021 00:00,22.62,0.53,10.19,16.11,102.12,59.94,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",102.0,Moderate
02-11-2021 00:00,22.47,0.58,15.59,31.14,125.18,57.8,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",117.0,Moderate
03-11-2021 00:00,16.36,0.47,8.24,22.74,86.41,42.12,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",86.0,Moderate
04-11-2021 00:00,13.38,0.4,4.71,12.83,39.19,17.84,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",39.0,Good
05-11-2021 00:00,15.6,0.6,11.78,17.07,69.69,34.66,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",70.0,Moderate
06-11-2021 00:00,13.39,0.52,8.77,18.3,77.73,41.45,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",78.0,Moderate
07-11-2021 00:00,18.69,0.47,6.41,16.44,96.06,55.62,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",96.0,Moderate
08-11-2021 00:00,23.62,0.46,16.02,17.58,113.23,72.26,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",139.0,Moderate
09-11-2021 00:00,25.9,0.47,13.62,17.85,114.23,63.58,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",110.0,Moderate
10-11-2021 00:00,26.92,0.64,15.46,23.19,143.55,72.39,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",140.0,Moderate
11-11-2021 00:00,27.42,0.78,16.36,24.06,160.44,78.47,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",161.0,Moderate
12-11-2021 00:00,29.31,0.78,15.17,16.32,152.02,78.6,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",161.0,Moderate
13-11-2021 00:00,20.15,0.69,13.52,19.47,107.53,60.48,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",105.0,Moderate
14-11-2021 00:00,9.08,0.45,7.31,15.51,39.74,17.62,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",40.0,Good
15-11-2021 00:00,10.82,0.52,5.86,17.1,44.7,18.71,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",45.0,Good
16-11-2021 00:00,9.12,0.43,6.33,16.49,42.55,14.74,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",43.0,Good
17-11-2021 00:00,9.64,0.34,6.01,12.65,33.6,9.7,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",34.0,Good
18-11-2021 00:00,9.73,0.45,4.75,15.35,41.63,14.31,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",42.0,Good
19-11-2021 00:00,10.61,0.6,7.62,26.33,81.62,36.02,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",82.0,Moderate
20-11-2021 00:00,9.67,0.38,4.77,13.25,38.0,14.39,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",38.0,Good
21-11-2021 00:00,9.19,0.18,5.31,12.72,16.52,7.25,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",17.0,Good
22-11-2021 00:00,8.01,0.47,5.23,12.72,15.25,7.0,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",24.0,Good
23-11-2021 00:00,10.06,0.56,4.88,19.95,54.05,16.96,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",54.0,Moderate
24-11-2021 00:00,11.36,0.73,8.27,29.4,75.2,29.42,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",75.0,Moderate
25-11-2021 00:00,12.98,0.51,8.48,23.02,74.28,40.26,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",74.0,Moderate
26-11-2021 00:00,17.41,0.67,10.78,25.84,113.46,54.35,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",109.0,Moderate
27-11-2021 00:00,17.32,0.41,10.33,28.56,126.78,61.7,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",118.0,Moderate
28-11-2021 00:00,15.47,0.51,10.69,22.33,113.18,59.25,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",109.0,Moderate
29-11-2021 00:00,14.04,0.52,9.7,16.5,95.22,63.47,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",109.0,Moderate
30-11-2021 00:00,15.16,0.5,9.85,16.94,111.16,74.0,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",145.0,Moderate
01-12-2021 00:00,13.75,0.56,13.54,27.41,121.49,64.85,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",115.0,Moderate
02-12-2021 00:00,18.35,0.75,10.49,23.29,136.24,70.38,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",133.0,Moderate
